F1	F0	A1	A0	B1	B0	C	C1	C0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	1
0	0	0	0	1	0	0	1	0
0	0	0	0	1	1	0	1	1
0	0	0	1	0	0	0	0	1
0	0	0	1	0	1	0	1	0
0	0	0	1	1	0	0	1	1
0	0	0	1	1	1	1	0	0
0	0	1	0	0	0	0	1	0
0	0	1	0	0	1	0	1	1
0	0	1	0	1	0	1	0	0
0	0	1	0	1	1	1	0	1
0	0	1	1	0	0	0	1	1
0	0	1	1	0	1	1	0	0
0	0	1	1	1	0	1	0	1
0	0	1	1	1	1	1	1	0
0	1	0	0	0	0	0	0	0
0	1	0	0	0	1	0	0	1
0	1	0	0	1	0	0	1	0
0	1	0	0	1	1	0	1	1
0	1	0	1	0	0	0	0	1
0	1	0	1	0	1	0	0	1
0	1	0	1	1	0	0	1	1
0	1	0	1	1	1	0	1	1
0	1	1	0	0	0	0	1	0
0	1	1	0	0	1	0	1	1
0	1	1	0	1	0	0	1	0
0	1	1	0	1	1	0	1	1
0	1	1	1	0	0	0	1	1
0	1	1	1	0	1	0	1	1
0	1	1	1	1	0	0	1	1
0	1	1	1	1	1	0	1	1
1	0	0	0	0	0	0	1	1
1	0	0	0	0	1	0	1	1
1	0	0	0	1	0	0	1	1
1	0	0	0	1	1	0	1	1
1	0	0	1	0	0	0	1	0
1	0	0	1	0	1	0	1	0
1	0	0	1	1	0	0	1	0
1	0	0	1	1	1	0	1	0
1	0	1	0	0	0	0	0	1
1	0	1	0	0	1	0	0	1
1	0	1	0	1	0	0	0	1
1	0	1	0	1	1	0	0	1
1	0	1	1	0	0	0	0	0
1	0	1	1	0	1	0	0	0
1	0	1	1	1	0	0	0	0
1	0	1	1	1	1	0	0	0
1	1	0	0	0	0	0	0	0
1	1	0	0	0	1	0	0	0
1	1	0	0	1	0	0	0	0
1	1	0	0	1	1	0	0	0
1	1	0	1	0	0	0	0	0
1	1	0	1	0	1	0	0	1
1	1	0	1	1	0	0	0	0
1	1	0	1	1	1	0	0	1
1	1	1	0	0	0	0	0	0
1	1	1	0	0	1	0	0	0
1	1	1	0	1	0	0	1	0
1	1	1	0	1	1	0	1	0
1	1	1	1	0	0	0	0	0
1	1	1	1	0	1	0	0	1
1	1	1	1	1	0	0	1	0
1	1	1	1	1	1	0	1	1
